race,age,engnat,gender,hand,source,country,E,N,A,C,O,maximum,personality_type
4,22,2,1,1,1,AU,2.8,3.4,3.0,2.9,3.2,3.4,N
7,20,1,2,1,1,MU,3.6,2.8,3.8,3.3,3.1,3.8,A
13,27,1,2,1,5,KE,2.5,1.6,3.0,3.2,3.4,3.4,O
11,42,2,2,1,1,PH,3.5,3.4,3.7,3.1,3.7,3.7,A
3,25,1,2,2,2,GB,2.7,2.8,3.2,3.1,3.5,3.5,O
3,39,1,2,1,1,US,3.3,3.0,3.2,3.4,3.5,3.5,O
4,23,2,1,1,5,IN,2.6,3.2,2.8,3.0,2.8,3.2,N
11,14,2,2,1,1,PH,3.0,4.3,3.0,2.7,3.7,4.3,N
13,21,2,2,1,1,GB,3.1,2.8,3.1,3.5,3.2,3.5,C
3,43,1,2,1,1,US,2.9,3.1,2.6,3.2,3.7,3.7,O
3,20,2,2,1,1,BR,3.0,3.5,2.5,2.8,2.6,3.5,N
3,19,2,2,1,1,HR,2.9,4.0,3.1,2.7,3.4,4.0,N
3,29,1,2,1,1,GB,3.4,3.6,3.5,3.3,3.5,3.6,N
3,23,1,2,1,1,GB,3.4,3.0,3.3,3.4,3.8,3.8,O
3,13,1,1,2,1,GB,3.2,2.5,3.0,3.2,3.2,3.2,E
13,17,1,2,1,1,GB,3.2,4.0,3.1,3.4,2.9,4.0,N
11,21,2,2,1,1,PH,3.3,2.6,3.6,2.6,3.0,3.6,A
3,35,1,1,1,1,US,3.0,2.7,3.1,3.3,3.4,3.4,O
3,29,1,2,1,1,US,2.8,3.6,3.6,3.0,3.3,3.6,N
8,13,1,1,1,5,US,3.4,1.5,2.9,3.2,3.6,3.6,O
13,13,1,2,1,5,US,3.1,1.7,2.4,2.8,2.2,3.1,E
8,13,1,1,1,5,US,3.1,1.6,2.6,2.8,2.5,3.1,E
13,13,1,1,1,5,US,3.1,4.1,2.8,2.5,3.5,4.1,N
3,13,1,2,1,5,US,3.5,2.7,3.3,3.0,2.7,3.5,E
13,13,1,2,1,5,US,3.4,4.1,3.6,3.6,3.4,4.1,N
10,13,2,1,1,5,US,2.8,2.6,3.0,3.0,3.7,3.7,O
3,13,1,1,1,5,US,3.4,1.6,3.0,3.2,3.5,3.5,O
9,13,1,2,1,5,US,2.9,1.8,2.8,2.7,2.8,2.9,E
3,13,1,1,1,5,US,3.2,3.0,2.2,3.1,4.2,4.2,O
3,13,1,2,1,5,US,2.9,3.9,3.4,2.4,2.5,3.9,N
3,14,1,1,1,5,US,4.1,2.7,3.4,3.8,4.1,4.1,E
3,13,1,2,1,5,US,2.7,2.4,2.9,3.2,3.4,3.4,O
5,13,1,1,1,5,US,3.3,2.6,2.9,3.5,2.4,3.5,C
13,13,1,2,1,5,US,3.9,4.0,3.7,3.2,3.0,4.0,N
2,14,1,1,2,5,US,2.2,1.4,1.4,1.4,1.8,2.2,E
1,13,1,1,1,5,US,2.8,1.4,3.8,3.4,3.8,3.8,A
1,13,1,1,1,5,US,3.1,1.5,2.8,3.0,2.8,3.1,E
5,13,1,1,1,5,US,3.4,3.0,2.8,3.2,3.2,3.4,E
1,14,1,2,1,5,US,3.7,3.0,3.4,3.0,2.6,3.7,E
5,13,1,2,1,5,US,3.6,1.8,4.2,3.8,3.4,4.2,A
3,13,1,1,1,5,US,3.2,3.5,2.1,2.8,3.0,3.5,N
1,13,1,2,1,5,US,3.1,2.2,3.2,2.5,3.1,3.2,A
4,14,1,1,1,5,US,3.8,3.7,3.6,3.4,4.0,4.0,O
11,25,2,1,1,2,SG,3.2,2.9,3.0,2.6,3.7,3.7,O
1,13,1,2,1,5,US,3.3,2.2,3.2,3.3,2.9,3.3,E
1,13,1,1,1,5,US,3.0,1.4,3.4,3.4,3.8,3.8,O
13,24,2,2,1,1,PK,3.4,3.8,3.0,4.6,3.8,4.6,C
3,42,2,2,1,5,HR,2.8,2.7,3.0,3.1,3.4,3.4,O
3,33,2,1,2,1,SE,3.5,2.0,3.3,2.9,3.6,3.6,O
6,20,1,2,1,5,(nu,3.5,3.6,3.3,3.3,3.2,3.6,N
3,41,1,2,1,2,US,3.3,2.1,3.4,3.5,3.6,3.6,O
3,26,1,2,1,1,US,3.2,2.7,3.1,3.1,3.3,3.3,O
13,17,1,1,1,5,US,4.3,4.4,3.7,3.1,4.6,4.6,O
3,38,1,2,2,1,US,3.3,2.5,2.9,2.6,3.2,3.3,E
3,17,1,1,3,1,US,3.2,2.1,4.1,2.9,3.1,4.1,A
13,35,1,2,1,2,US,2.9,2.9,3.9,3.8,3.3,3.9,A
1,21,1,1,1,1,AU,2.8,2.3,2.5,3.1,2.6,3.1,C
13,21,2,1,1,1,IN,3.0,2.9,2.4,2.7,2.9,3.0,E
3,27,1,2,1,1,US,2.9,2.9,3.9,3.5,3.2,3.9,A
1,17,1,2,1,1,US,3.4,3.6,4.0,3.3,3.6,4.0,A
1,28,1,2,1,2,US,2.8,4.1,3.7,3.8,3.6,4.1,N
11,14,1,2,1,1,CA,3.4,3.2,3.0,2.9,3.7,3.7,O
3,17,2,2,1,5,US,2.6,3.1,3.2,3.4,3.3,3.4,C
12,17,1,2,1,5,US,3.6,3.3,2.9,2.6,3.0,3.6,E
13,17,1,1,1,5,US,3.5,2.8,3.1,3.1,2.7,3.5,E
13,16,1,2,1,5,US,3.0,1.7,3.7,2.6,2.7,3.7,A
13,16,2,1,1,5,US,3.2,2.9,2.8,2.7,3.1,3.2,E
13,16,1,2,1,5,US,3.7,3.2,4.0,4.0,3.6,4.0,A
3,17,1,1,1,5,US,3.3,2.5,3.3,3.2,3.4,3.4,O
13,15,1,2,1,5,US,2.2,4.1,2.4,3.4,3.5,4.1,N
11,16,1,2,1,5,US,2.9,3.5,3.2,3.2,2.7,3.5,N
